filename,result
test_1.jpg,00372
test_2.jpg,01725
test_3.jpg,00879
test_4.jpg,00053
test_5.jpg,00325
test_6.jpg,002726
test_7.jpg,00028
test_8.jpg,00034
test_9.jpg,00026
test_10.jpg,004941
test_11.jpg,00045
test_12.jpg,00048
test_13.jpg,010564
test_14.jpg,001323
test_15.jpg,00501
test_16.jpg,00062
test_17.jpg,00323
test_18.jpg,00095
test_19.jpg,00023
test_20.jpg,00337
test_21.jpg,00000
test_22.jpg,00002
test_23.jpg,00396
test_24.jpg,00430
test_25.jpg,00238
test_26.jpg,00039
test_27.jpg,00003
test_28.jpg,00056
test_29.jpg,01911
test_30.jpg,00025
test_31.jpg,00215
test_32.jpg,00043
test_33.jpg,00621
test_34.jpg,00319
test_35.jpg,00039
test_36.jpg,00028
test_37.jpg,00036
test_38.jpg,00125
test_39.jpg,00048
test_40.jpg,00512
test_41.jpg,00000
test_42.jpg,00023
test_43.jpg,00410
test_44.jpg,00159
test_45.jpg,00497
test_46.jpg,00002
test_47.jpg,00002
test_48.jpg,00277
test_49.jpg,00032
test_50.jpg,00419
test_51.jpg,00048
test_52.jpg,00003
test_53.jpg,00005
test_54.jpg,00301
test_55.jpg,00237
test_56.jpg,00301
test_57.jpg,00481
test_58.jpg,00506
test_59.jpg,00538
test_60.jpg,00128
test_61.jpg,005328
test_62.jpg,00000
test_63.jpg,03195
test_64.jpg,00048
test_65.jpg,00960
test_66.jpg,00028
test_67.jpg,00256
test_68.jpg,00002
test_69.jpg,00347
test_70.jpg,00215
test_71.jpg,00324
test_72.jpg,00024
test_73.jpg,00317
test_74.jpg,005270
test_75.jpg,00571
test_76.jpg,00021
test_77.jpg,00050
test_78.jpg,003931
test_79.jpg,00054
test_80.jpg,00035
test_81.jpg,00153
test_82.jpg,00017
test_83.jpg,00028
test_84.jpg,00028
test_85.jpg,00350
test_86.jpg,00243
test_87.jpg,00038
test_88.jpg,00056
test_89.jpg,00043
test_90.jpg,00028
test_91.jpg,001589
test_92.jpg,00324
test_93.jpg,00928
test_94.jpg,00307
test_95.jpg,00023
test_96.jpg,00953
test_97.jpg,00023
test_98.jpg,00325
test_99.jpg,00056
test_100.jpg,00001
test_101.jpg,00018
test_102.jpg,00000
test_103.jpg,00038
test_104.jpg,00157
test_105.jpg,00028
test_106.jpg,00035
test_107.jpg,00507
test_108.jpg,00525
test_109.jpg,00036
test_110.jpg,00107
test_111.jpg,00323
test_112.jpg,003305
test_113.jpg,00559
test_114.jpg,00058
test_115.jpg,00047
test_116.jpg,00439
test_117.jpg,00023
test_118.jpg,00006
test_119.jpg,00913
test_120.jpg,00483
test_121.jpg,00207
test_122.jpg,00158
test_123.jpg,00321
test_124.jpg,00009
test_125.jpg,00353
test_126.jpg,00027
test_127.jpg,00043
test_128.jpg,00130
test_129.jpg,00294
test_130.jpg,00023
test_131.jpg,00028
test_132.jpg,00021
test_133.jpg,00316
test_134.jpg,00911
test_135.jpg,00032
test_136.jpg,00193
test_137.jpg,01125
test_138.jpg,00415
test_139.jpg,00501
test_140.jpg,00021
test_141.jpg,00024
test_142.jpg,000327
test_143.jpg,01043
test_144.jpg,00032
test_145.jpg,00021
